"V1" "V2"
"1" 104 -46
"2" 518 -65
"3" 520 -65
"4" 658 -63
"5" 660 -64
"6" 810 -63
"7" 812 -63
"8" 968 -61
"9" 970 -63
"10" 1446 -54
"11" 1448 -71
"12" 1602 -71
"13" 1604 -71
"14" 1768 -71
"15" 1770 -71
"16" 1918 -62
"17" 1920 -62
"18" 2064 -64
"19" 2066 -64
"20" 2344 -66
"21" 2346 -66
"22" 2470 -72
"23" 2472 -73
"24" 2582 -57
"25" 2704 -69
"26" 2706 -71
"27" 2842 -46
"28" 3102 -65
"29" 3104 -67
"30" 3354 -69
"31" 3356 -71
"32" 3756 -69
"33" 3758 -71
"34" 3898 -63
"35" 3900 -63
"36" 4230 -67
"37" 4232 -67
"38" 4530 -71
"39" 4532 -72
"40" 4704 -72
"41" 4706 -72
"42" 4878 -46
"43" 5044 -63
"44" 5046 -63
"45" 5214 -64
"46" 5216 -64
"47" 5376 -51
"48" 5536 -52
"49" 5690 -71
"50" 5692 -71
"51" 5848 -71
"52" 5850 -70
"53" 6010 -63
"54" 6012 -63
"55" 6310 -67
"56" 6312 -67
"57" 6458 -65
"58" 6460 -67
"59" 6608 -71
"60" 6610 -71
"61" 6780 -55
"62" 6946 -69
"63" 6948 -71
"64" 7104 -46
"65" 7386 -65
"66" 7388 -67
"67" 7550 -56
"68" 7720 -63
"69" 7722 -63
"70" 7876 -63
"71" 7878 -63
"72" 8036 -63
"73" 8038 -63
"74" 8230 -67
"75" 8232 -67
"76" 8412 -65
"77" 8414 -67
"78" 8596 -70
"79" 8598 -71
"80" 8792 -70
"81" 8794 -72
"82" 8958 -69
"83" 8960 -71
"84" 9130 -62
"85" 9132 -63
"86" 9284 -67
"87" 9286 -67
"88" 9476 -67
"89" 9478 -67
"90" 9674 -51
"91" 9874 -70
"92" 9876 -72
"93" 10052 -63
"94" 10054 -63
"95" 10580 -67
"96" 10582 -67
"97" 10744 -71
"98" 10746 -71
"99" 11044 -46
"100" 11046 -63
"101" 11206 -63
"102" 11208 -63
"103" 11698 -72
"104" 11700 -72
"105" 11982 -65
"106" 11984 -67
"107" 12186 -60
